User_ID,Basketball,Yoga,Hiking,Cycling,Gym,Swimming,Dancing,Running,Music,Photography,Availability,Past Matches,User Score,Location,Nationality,Languages Spoken,Gender
1,1,2,2,2,2,2,1,3,3,4,"Mon, Wed, Sat",[451],1.5,Nakhon Ratchasima,USA,English,Other
2,5,3,2,1,5,3,4,2,3,4,"Sun, Wed, Fri","[688, 992]",6.2,Phuket,India,"Hindi, English",Male
3,5,2,3,2,1,5,1,3,3,2,"Mon, Sat, Fri, Wed, Sun","[287, 79, 768, 837]",7.8,Pattaya,Netherlands,"Dutch, English",Female
4,3,3,4,2,1,4,2,5,2,1,"Fri, Wed","[69, 302]",7.3,Nakhon Si Thammarat,Sweden,"Swedish, English",Prefer not to say
5,5,5,4,2,3,5,4,2,4,1,"Mon, Fri, Sat, Thu","[788, 496, 842, 626]",6.2,Hat Yai,Australia,English,Other
6,1,4,4,2,5,2,2,3,5,3,"Tue, Sun",[757],5.7,Nakhon Si Thammarat,China,"Mandarin, English",Male
7,2,4,2,2,4,2,1,1,3,2,"Mon, Wed, Thu","[110, 66, 227, 173]",5.2,Rayong,Germany,"German, English",Female
8,4,2,5,5,2,1,1,5,4,5,"Thu, Sat, Wed, Tue",[586],5.1,Samut Prakan,USA,English,Male
9,5,1,1,5,3,2,2,1,4,2,"Sun, Mon, Tue, Wed",[910],6.4,Ratchaburi,Japan,"Japanese, English",Other
10,3,2,5,4,1,1,2,5,4,3,"Tue, Thu, Wed","[389, 298]",2.9,Bangkok,Spain,"Spanish, English",Prefer not to say
11,3,1,3,2,5,1,2,1,1,2,"Thu, Sat, Sun, Mon","[567, 131, 385]",4.3,Rayong,Netherlands,"Dutch, English",Male
12,3,2,2,2,4,5,4,3,3,1,"Tue, Wed, Mon, Thu","[326, 834, 149, 5]",8.9,Hat Yai,Sweden,"Swedish, English",Prefer not to say
13,2,3,3,1,2,2,1,2,5,1,"Fri, Thu, Sun, Wed","[475, 690, 965]",7.0,Pattaya,Canada,"English, French",Other
14,2,2,2,1,1,2,2,3,1,3,"Fri, Mon, Tue, Thu","[832, 883, 928, 853]",1.6,Khon Kaen,Spain,"Spanish, English",Male
15,3,2,2,1,2,2,3,2,1,1,"Fri, Thu, Sat, Sun","[82, 608, 918, 709, 283]",2.2,Samut Prakan,Spain,"Spanish, English",Prefer not to say
16,3,1,4,1,2,5,4,1,1,2,"Wed, Fri","[677, 376, 284, 685]",5.9,Hat Yai,France,"French, English",Female
17,2,1,3,3,4,4,1,1,5,5,"Wed, Mon, Tue, Fri, Sat",[667],2.4,Udon Thani,Japan,"Japanese, English",Female
18,1,3,4,1,5,4,2,4,2,5,"Mon, Thu, Tue, Sat","[504, 10, 135, 693]",6.7,Surat Thani,Australia,English,Prefer not to say
19,1,3,4,1,5,4,2,2,3,2,"Sat, Tue","[917, 113, 494, 833, 490]",7.9,Udon Thani,South Korea,"Korean, English",Other
20,5,4,3,2,3,2,3,3,3,4,"Tue, Thu","[636, 161, 399, 660, 945]",5.4,Hat Yai,USA,English,Other
21,3,1,2,3,5,1,5,4,3,5,"Tue, Fri","[482, 198, 879, 814]",3.2,Ayutthaya,Japan,"Japanese, English",Female
22,5,4,2,1,2,1,4,1,4,2,"Tue, Fri, Thu, Wed, Sat","[447, 800, 750]",2.4,Rayong,South Korea,"Korean, English",Other
23,1,5,2,5,2,3,4,2,3,2,"Fri, Mon, Sun, Tue","[356, 670]",3.4,Bangkok,Japan,"Japanese, English",Female
24,4,3,2,4,1,3,3,5,4,5,"Sat, Tue","[624, 719, 456]",6.6,Samut Prakan,Russia,"Russian, English",Female
25,3,3,5,2,3,5,3,4,2,1,"Tue, Mon, Sun, Wed, Sat","[271, 869]",2.7,Nakhon Si Thammarat,Australia,English,Other
26,3,2,1,5,3,3,4,5,2,3,"Wed, Thu, Fri","[7, 149, 156, 217]",1.8,Chiang Mai,Canada,"English, French",Male
27,4,4,2,4,5,3,4,3,2,5,"Sun, Tue, Thu, Mon, Sat",[624],5.8,Phuket,Spain,"Spanish, English",Other
28,4,3,4,1,2,5,4,3,4,4,"Mon, Thu, Tue, Sun, Fri",[270],5.4,Ayutthaya,Japan,"Japanese, English",Female
